artistnames,trackName,trackID,albumID,artistIDs,firstNotation,lastNotation,amountOfNotations
['billy swan'],I Just Want To Taste Your Wine,39wzJUpPrMOOAT9cNY9Kb4,3okUWxiGmWBwC5FLCrVJ6U,['6nNkKMkPl1qBCEW3Al9eVV'],1976,1976,5
['the trammps'],That's Where The Happy People Go,4JuzaVgrM4qNz90qsLGigX,1vP1R14x8ItaHB1PT0zjct,['1zgNpeHQe8GulzfVkYP2VK'],1976,1976,4
['stampeders'],Hit the Road Jack,5hmXkkj1RmTx2y2furGlzX,53FbOsiPueBYiIECDSxPph,['39uv7qSNwIoaAtWNioWnxp'],1976,1976,5
['sailor'],A Glass Of Champagne,3lm0QsdpQrypDUbHexpVWK,11k08Ul8tAN5cu7JozYldn,['4pE3KE9J1Z1LKzjwLtWU21'],1976,1976,10
['the rolling stones'],Fool To Cry,0YmQ2JaUM6eY9QUZtzVASW,6Oh6nSTV6eX7nCtwaed39b,['22bE4uQ6baNwSHPVcDxLCe'],1976,1976,6
['trinity'],002.345.709 (That's My Number),0AjT8to2LikWTSq9PwZwdV,2qQU6RY10EsjBC45o5hsTE,['40s0JQqVmgaEOdLcQpaD27'],1976,1976,8
['pierre rapsat'],Judy et cie - Live,6PjYSOQXBAM08XIcWmTLQE,2UPOYRaLgAGgZwj1OenEY4,['3Jsgw675Kwq2u5MxmBmW7g'],1976,1976,3
['julien clerc'],This Melody,7kd31hbc1pxQuzuVgM1cBt,1BBkJnf0MLDGRcMzEsal7C,['7gVzeNvBbUpj6PXX5ekCMs'],1976,1976,10
['the cats'],We Should Be Together,5WeRGrDkzWfOkpX1BPCthl,4ifT7ZPq4PA7qhRkDhlevG,['4mplweFSgMgpH03ruEMEMv'],1976,1976,5
['maxine nightingale'],Right Back Where We Started From - 1994 Remastered Version,7mSUMlp8ttG8H00RePyZ5J,4Qy5iKJx5KyRfYkXLJVcnS,['6jQ9UtYXqNfVnPkrH1Xxwi'],1976,1976,10
['m„ºd'],Shake It Down,4INfou3e8IzpNooeGPkdPV,0M4RAseNbtvw5S29L0RcUv,['5UAV0dbY4PpgUC6xZt8tKs'],1976,1976,6
['catapult'],Remember September,11pdyD8G26NWElGKwnRnVH,4Wr4QUz7kKTsml3eBRqqfE,['4tpalrvEtD2YyBfz6RG8UU'],1976,1976,4
['fatback band'],Spanish Hustle,1y9M8EFvVzfmikd6nWEp7G,4AEYQ9fgVjlVtOGEHkVMoV,['6PWU6JQvvYv5sz5FOODHg6'],1976,1976,7
['don mercedes'],Rocky,1lDESMyFMzkQy4UN64M6Va,7qFr3gvxeTr7DZqRsBQimi,['3H1MvMGHin63uz3KHgjSW9'],1976,1976,11
['hank mizell'],Jungle Rock,0wSK6l829eYOZgY0Jjojst,3WCPIAkL4hSbTypgokUMaB,['3RGF93b8Qtz77GLJBgdBH6'],1976,1976,9
['brass construction'],Movin',1s8xZDPPL9eMGhJDApsCgs,70mFuD9TrIvjUoZN45R4M0,['5jWuVnPLmjABrgCGianzs9'],1976,1976,7
['bay city rollers'],Love Me Like I Love You - Rerecorded,0JGWOGwWiXjPP83mAI92Jk,0n8Gbjs8mlwRAr9cTeer8e,['3r9TXuXfOUxXjgYgAR0fP8'],1976,1976,4
['johnnie taylor'],Disco Lady - Single Version,4A4TVPGQ4I6uY20ZP5jNcC,50M2o5oVvrG0LEt6ecgJXy,['4OGuNAnRFWZOgOA2d51taz'],1976,1976,4
['anita meyer'],You can do it,1BIQkWIyVhjoQo9nrWW1Gd,719iqpAQtXCPvmHK4lEs7l,['7xxVm0cM4x7TUBadZQuz3S'],1976,1976,8
['corry konings'],Ik Krijg Een Heel Apart Gevoel Van Binnen,1gwqsbYBYTJUwWl3I19hWK,18JsD3oxq36xy7uEIzya6B,['3pqfZ3xfayx6qJWcsVcXnS'],1976,1976,9
['john sebastian'],"Welcome Back [Theme from Welcome Back, Kotter]",2pS6zWWQCpO0IVEBIbzJh8,1r5IleX8zPXRixRR5MeRhZ,['3FPF6tyBTP79pCCAJDcPft'],1976,1976,6
['diana ross'],Love Hangover - Single Version,2R431nOTiQKgX3UWxm0LNN,5kfvEA0t0GqXdwMdxnlZce,['3MdG05syQeRYPPcClLaUGl'],1976,1976,5
"['sutherland brothers & quiver', 'ron albert', 'howle albert']",Arms of Mary,6287Wj4s5fDLLxZPQFCwZq,250pi4BXKaHZKZg7Q4nnAo,"['4PZTf9tGxAD1uxpVmV5zMH', '1QoYcmEu5DiUAmmsFYNYBG', '7GNO2xlmnh1VmZAxkI8Mdl']",1976,1976,12
['f.o.x'],S-S-S-Single Bed,3u6xNexXkrQkSgwWvTmfoE,6t5MtAzcgNZRF5zXmA7hgA,['4Fp39Ht9xK3kp0fQxmA6p2'],1976,1976,7
['marianne rosenberg'],Lieder der Nacht,36uikH5PULfvtceEyhozqg,27Ql7MzhrXEwNcFBtlosJt,['4RVBHXd0cu2qrEyv8jVjQZ'],1976,1976,3
['fats domino'],Blueberry Hill - 2002 Digital Remaster,2NkAoxQOr6MGdMB5JDTU81,0SFClXD5CAnZ6vzrcTzXgQ,['09C0xjtosNAIXP36wTnWxd'],1976,1976,10
"['peter frampton', 'chris kimsey']",Show Me The Way,3wlYKN4v231l7qvZFxYFeo,2Ub0D1QK9IudBBVdfNjGfD,"['0543y7yrvny4KymoaneT4W', '6DDNb7Znt7Nbc2GQxXu22W']",1976,1976,13
['rod stewart'],Tonight's the Night (Gonna Be Alright) - 2009 Remastered Version,10LRRKPmx8uHcSxLVWK0ct,7nge8Pafna5rU1a0ek7dKN,['2y8Jo9CKhJvtfeKOsYzRdT'],1976,1976,7
['bots'],Zeven Dagen Lang,3nGZMY5CBwzCq2BOCadiM5,0PbMuLFjSWtgsEEPhWcflQ,['1EoMc1Hck2NByhc2vay5O8'],1976,1976,6
['brotherhood of man'],My Sweet Rosalie,7CROTpvkmd0qSgpONYIisK,4wK8iyE5Ag0Q2pMCniNJug,['4Cyr5aqgXza16isOrQNOvo'],1976,1976,9
['frankie valli & the four seasons'],Silver Star,4reBMqmSjr7Oj0Apl40gyt,7fbHVufa1ZvEWWpDppEXHU,['6mcrZQmgzFGRWf7C0SObou'],1976,1976,6
['jimmy james & the vagabonds'],I'll Go Where Your Music Takes Me,5JtU98n2PNagRedoC8gMVs,2071Pp8uqDzL3Xduj83XcV,['3bflLnRrSv2lbgQHyhFP7l'],1976,1976,10
['charles aznavour'],Mes emmerdes - Remastered 2014,58A39lwtkT5AJPNfjqPjyp,65b8ifBuHa821fEyAEEz9h,['2hgP9Ap2tc10R5jrQaEpMT'],1976,1976,5
['neil diamond'],If You Know What I Mean,0KXEhdpMHuXHhT1bxdJ90i,5WDSReHTbF5j0EvCRwrAqh,['7mEIug7XUlQHikrFxjTWes'],1976,1976,7
['jesse green'],Nice and Slow,0Q2bPwkkppEvpKHfmgH6dX,26qznmL0K62Vm6nSkL75Mm,['6F9RWjBvRtYDrlFVW9Ut7M'],1976,1976,12
['kc & the sunshine band'],(Shake Shake Shake) Shake Your Booty,4mn7iv4DYJxPYbPy5R0nPE,7nb5eaxuDO4jbOxk0euRJv,['3mQBpAOMWYqAZyxtyeo4Lo'],1976,1976,6
['liberation of man'],Love Is Under Control,5it7FXV8eAsF80G08HLNm4,3hkuta20XJfQgjBr0p87Uh,['6ScOdwI9O7IY9NCgtPAFpq'],1976,1976,6
['the outlaws'],"Breaker Breaker - Digitally Remastered, 1996",2dtQISDpCTuMdIEZd0TvFr,1MhPGLDNQLwtqxwJRU9brd,['72JEwd3EjDEwTLypkFYJn9'],1976,1976,6
['tina charles'],Love Me Like A Lover,2kB9dVah09K6LKBAJn110b,0PJL7tRKWqRT3iLq5a44qX,['7Jbs4wPCLaKXPxrTxZ2zaa'],1976,1976,3
['classics'],Sunshine Baby,0UMpuGcndawjLGgxQPBMQw,0GboNNzkWzRLNGrcLIDQM2,['5r2MAwfEkxYPd4SuPancJm'],1976,1976,10
['joe tex'],Have you ever,0lqETotalBIggCrfc32Pzb,5lPTpJorZZwS5pI9C0socS,['5TbXjzD8tYgMD5JU2g2F8q'],1976,1976,3
['full house'],Standing On The Inside,6gNal1vEnJEpQTokiooC9Q,0qGpvVf7bngy0wtINM7gCY,['5UMwc4SgT1oA2miSqrbroE'],1976,1976,10
['the real thing'],You To Me Are Everything,0klZpFX0a84jdkqzPNrLQs,4YMGASMu3PZaKwq6vJoVTc,['1NUD5By34MFynmuUynCfSj'],1976,1976,9
['jeane manson'],Avant de nous dire adieu,2XOxcJrlD0RZ3pGEtel8lH,0GvGRF8sq9F6BcWKbLnzq3,['79mBWmbCWuhDHQqvC0E5P7'],1976,1976,7
['robin sarstedt'],My Resistance Is Low,24ZgUoF1GlGXApDrYA0s7R,4mpr2UFCElReNialVUOTC6,['1XaPNt4TtwOko5WdDDRRZZ'],1976,1976,5
['jack jersey'],After Sweet Memories,7HlJlESjmOEigKZqutPDsR,5lpt9aaejHyMUFGZiX4Z5m,['1ZhBDHnGPkPciEyJBzfq3p'],1976,1976,7
['the manhattans'],Kiss and Say Goodbye,4GBq8IPJieQyxwpHfLCxAx,4shPsyHdXeoYwJeqt10Ttq,['1DpIDwg8FGD50N9Tfunfsf'],1976,1976,12
['eddie howell'],Man from Manhattan,7xIq32vJ7T0Cx79eK7fhqb,0pEQuE6vkW0yoRR7RiSEBj,['1DewuvB2K3NlCVU9QTSd26'],1976,1976,6
"[""dizzy man's band""]",Every Day In Action,1t60rJJ0n991jfiMjSKYzi,6xk8rEpj1PPnwIhQKAoWcg,['2uYGzEYYX0GTrgnfLmq4Uu'],1976,1976,5
['bachman-turner overdrive'],Lookin' Out For #1,5t9dxiL11YzlDynpCmDTwZ,0m2JIppBgmISarzNkXvQJj,['5q4AzEtCoYJyXjMMoEkSU5'],1976,1976,5
['status quo'],Mystery Song - Single Edit,4CBl3UE5CkP1b1JhFziGUI,16MjanaRhBF4JEP9Tn5sho,['4gIdjgLlvgEOz7MexDZzpM'],1976,1976,6
['the cats'],Romance,1LD1xPdqAaOHZvOOyUKFYQ,4ifT7ZPq4PA7qhRkDhlevG,['4mplweFSgMgpH03ruEMEMv'],1976,1976,4
['george baker selection'],Wild Bird,4M17r4SqINfWk9v9iauded,1dcpH2oaNEFxhKINvoe8i8,['2MGJBRRGEj9m6MxJIq7fLn'],1976,1976,10
['bryan ferry'],Let's Stick Together,6y4FVJwf09ssxuRnlEgXkp,7q7RBiiadKQR4DCbs7OMbd,['5RNFFojXkPRmlJZIwXeKQC'],1976,1976,14
['air bubble'],Racing Car,2wHq1jninFrjEbQ9QGw3O0,6yb6tTWQw16a9TUfo0IGdb,['0GItQwET7wCP2FHblzYX2W'],1976,1976,9
['queen'],You're My Best Friend - Remastered 2011,5YtxOL4iUchhynLL9nEBwQ,1TSZDcvlPtAnekTaItI3qO,['1dfeR4HaWDbWqFHLkxsg1d'],1976,1976,8
['abba'],Dancing Queen,01iyCAUm8EvOFqVWYJ3dVX,79ZX48114T8NH36MnOTtl7,['0LcJLqbBmaGUft1e9Mm8HV'],1976,1976,20
['dr. hook'],A Little Bit More,3I7bYwN9cMsXm5HqEH76Vv,2L4Acf5HQQT9pZqqG8Fjte,['2Mhi3jfuRSdbVZPdjqsnnN'],1976,1976,8
"['walter murphy', 'the big apple band']",A Fifth Of Beethoven,3pjr8phteSBLOS5k9guOR1,5GNOyOS8RfRdhAagAmMDWq,"['73JBR5s2PVvUjGu6tIqjqx', '3JMRq98LrEi2ezxixzN2Is']",1976,1976,5
['billy joel'],James,4gej2mdVcBdUfdxcvhE8rO,7GiLfxL1su3MSqz7pmKMZi,['6zFYqv1mOsgBRQbae3JJ9e'],1976,1976,6
['long tall ernie & the shakers'],Allright (Makin Love In The Middle Of The Night),12MjT5VXFNk2S5yR24W6qQ,0F7mJwS4NRMGaTR8Netd9k,['5alZu2pIF8iEbK4egRkPy8'],1976,1976,8
['bee gees'],You Should Be Dancing - Edit,4aFREwi1prNIKKTPFNfRGL,0RuvLfqp8mmJlzqxV04xLl,['1LZEQNv7sE11VDY3SdxQeN'],1976,1976,6
['vader abraham'],Als je wilt weten wie ik ben,1Ec85hFYK3rbUNaN80em1a,0fkQnrKRtJVR1EjsHL4uuf,['5OWsH2lF65ygWcLYWic6rq'],1976,1976,4
['vicky leandros'],Tango d'amor,0ggdJdusrALYB6EpTE783X,1Gj1ohVuHt9q3uIirrazYo,['68yjIBoc8l4GaliVFZDUcJ'],1976,1976,10
['jimmy james & the vagabonds'],Now Is The Time,2AQ0gNu2vwrtuRppD0A8lo,1ECupqvmtDnk29LyUnuS1B,['3bflLnRrSv2lbgQHyhFP7l'],1976,1976,10
['henry gross'],Shannon,4IYoyOVK9oQyJS1QZt5Vyj,5KoWyVRECXH3IYrGuF4oza,['3u2E9OhKS2vkxi08itc25a'],1976,1976,5
['jonathan king'],It Only Takes A Minute,3kPkSvFmCBPoJtAei5bNeI,2XkdnkVjZDkIFd1TNYQ2Ak,['1bvo51530qqjHyHapoE7N2'],1976,1976,4
['pussycat'],Smile,6RYFxVGAPQ0p1OAzgjsqvN,1V33eOvTmM5CvmS28JBiIl,['2rmQ5EEAIkloNGWdGlvCYM'],1976,1976,12
['liverpool express'],You Are My Love,6QdfBpsZpbUqDW3Ylwset1,6eWkC2Qv4ly7zIbyQWF4j8,['5MHQO0sz5J0VX7jjuL2dUg'],1976,1976,7
['lia velasco'],505 PM (Another Fridaynight),5nUnunqAMmrPVOSHoWWkkD,3hkuta20XJfQgjBr0p87Uh,['49k5Nd9FNwB6eOtvK6NAVC'],1976,1976,9
['erasmo carlos'],Cacha√ßa Mec√¢nica,1SsmusTcNLdYv1joSORJyy,7kIwXMifYeL0LZ4KD79QAW,['6cHQUDAPGKRE2NbVjBlOcz'],1976,1976,5
['frank ferrari'],Monza,1Hok8cELVTmz1HjpfAQGGS,6bHaFkaAoF2Ftc8T2nGASC,['1bd0f9XI5jNMLRIzcHJ12Z'],1976,1976,10
['rosy & andres'],My Love,7MqZJbMkwXkDPO1vFugF5I,2xmNHAzD1vSWWRX81Bjl9J,['1NqwVRYpBZBtb7k6OQGRAg'],1976,1976,11
['afric simone'],Playa Blanca,2KfqZwPId3ozr5pejEwk02,3Uet0QPuI0DuqZfNXtUt0G,['4LzxNC5MtBgBbgOmrPuYbh'],1976,1976,7
['the stills-young band'],Long May You Run,2H7rEXLXzdU28IOPj91fJI,0Qt4WzqeT687yz0pwsxgcu,['3ZBIKwEmexGQHro1PDM75t'],1976,1976,8
['jack jersey'],Blue Brown Eyed Lady,4uvIh79sRf76GOtLrOVhmz,5lpt9aaejHyMUFGZiX4Z5m,['1ZhBDHnGPkPciEyJBzfq3p'],1976,1976,11
['johnny wakelin'],In Zaire,682jCYwK3bUfjcjXcOuap3,0HminRk3pJTT2HeXuFtQbi,['7s8sBDHfKZL7gFBtdObnTm'],1976,1976,11
['eve brenner'],Le matin sur la rivi√®re,30huxEKtwGnTWHDWeurQM4,3qjpc9JpNozjD6fWmC5y3z,['7iuZLycNTft4WtppKHAcHu'],1976,1976,7
['starland vocal band'],Afternoon Delight,5Yq58BC5k14EVUJ63cmg8g,5DDpGgEdJKpH99oD4jlvQ8,['66QeIFuFJDNCImNHlFzrY1'],1976,1976,5
['julio iglesias'],Por El Amor De Una Mujer,7010oiDHpfwrZoYNxqgfoI,3YAtD5obf0a1E2NHjZ8A8K,['4etuCZVdP8yiNPn4xf0ie5'],1976,1976,4
['conny vandenbos'],Ome Arie,2G1CJRRT8FvLjOyo2flbGD,39Ljd7Ra3oXlSY4RtRK0Gp,['4U9bAa04kxvEeWVVAGQiVC'],1976,1976,7
['bzn'],Mon Amour,2VJn70jurhDVgu9SmHsOUK,4c3Yq0YXJZk1kaWWni7QRx,['1tF9HtIFX8fJfBo64FIJ8S'],1976,1976,14
['lou rawls'],You'll Never Find Another Love Like Mine,6OylYIXrIH2E3hgg7Dqz5M,3JWeH3xgkigYvXdNQCFx1m,['1zJBFCev9UwOMcrZsLi2od'],1976,1976,8
['steve miller band'],Fly Like An Eagle,3ng19WnMIqBZpaqcXV39Zf,0ogpgyIPIq7CjRis7FWw6U,['6QtGlUje9TIkLrgPZrESuk'],1976,1976,5
['michel fugain & le big bazar'],Ring Et Ding - Fugain & le Big Bazar n¬∞4,3Y7xfb5R317UK6RUjaVE1W,1DzX3EqCQWllnry820X66X,['5KnLt0VENhwsfmQL3y2nsY'],1976,1976,5
['gerard de vries'],Teddy Beer,1u8wmNgaa5A3kkG3gV2pKc,2X9Y0QCl5xrDvqrsaVWj0l,['0NkWtmKhwsCX7VoMu0DpGP'],1976,1976,10
['albert west'],Memory of Life,01TQs6gc6887IoSuRhkNwS,13chtkFKZLJ0EzKKkfJhLq,['00BQd3WIu5VBBP2y1NvIrk'],1976,1976,7
"[""johnny travis jr. & his all star stars 'n' bars band""]",I Can Always Count On You (To Let Me Down),2XzJpEfQcPjP1mXZ7Bjuh3,7sLLxWixVoA7B4XPIsvcW7,['0MpNRzTO00642LNJsnZbo9'],1976,1976,6
['boney m.'],Daddy Cool,3WMbD1OyfKuwWDWMNbPQ4g,1KQUrny9y5zGpktF6hAGd4,['54R6Y0I7jGUCveDTtI21nb'],1976,1976,14
['classics'],Wings Of An Eagle,7k7jQX8jwEM9HaYskXS7KJ,0GboNNzkWzRLNGrcLIDQM2,['5r2MAwfEkxYPd4SuPancJm'],1976,1976,8
['wild cherry'],Play That Funky Music,5uuJruktM9fMdN9Va0DUMl,27ompw8zlrCkWMacS21ysX,['4apX9tIeHb85yPyy4F6FJG'],1976,1976,12
['corry konings'],Het Is Voorbij,58LcaS6eLSKxcj7agqwB2E,18JsD3oxq36xy7uEIzya6B,['3pqfZ3xfayx6qJWcsVcXnS'],1976,1976,5
['bryan ferry'],The Price Of Love,5UoBGPQQ5IngRDLR0PIUBA,7q7RBiiadKQR4DCbs7OMbd,['5RNFFojXkPRmlJZIwXeKQC'],1976,1976,11
['bay city rollers'],I Only Wanna Be with You,3XY0oIVf2roUFIwkzjBgwt,3YrxreFcscK7Lkb8a6Nc7Y,['3r9TXuXfOUxXjgYgAR0fP8'],1976,1976,8
['vicki sue robinson'],Turn the Beat Around,1kR8zUFIRLXpk1v9aC2VcA,4p1GnIVsPGw6p7Gpc8W2Hh,['25pwh5JrKHzLv2FTPSvoqa'],1976,1976,10
['octopus'],Summerland,4cll6WivCjYByFElaVgtRn,1ftwDYTp4cRpKei7IrPOBW,['4unGdyZQTgdMSRqmsZsJZ1'],1976,1976,6
['m„ºd'],Nite on the Tiles,7dcEZj4M7PbTTG57ECFrQc,7kf3aYydkkr5CXF8oXcNmB,['5UAV0dbY4PpgUC6xZt8tKs'],1976,1976,5
['the manhattan transfer'],Chanson D'Amour,4QxQSsPRUqUkJSZZKIXhGi,6iuZyg7Hzd3qiEZ6os8yWS,['2dogRElUKV20C2khRHqjRc'],1976,1976,9
['andr„© van duin'],Onzichtbare Andr√©,5NJadvEfqsJAfXJCMsCf6v,5QDsIFFPEqWTZbTcz6MvPf,['1G2QbSM5dLTtqeZHYnxXsF'],1976,1976,8
['the hollies'],Daddy Don't Mind - 2003 Remastered Version,35TSt2ZuifkPEjbyD1gid5,6pC4eWn4MsiLwTnGAENmoy,['6waa8mKu91GjzD4NlONlNJ'],1976,1976,6
['the real thing'],Can't Get By Without You,0mRHlsn0Vhl1oAcVDYwF8i,2Tkt9S8zeljTokUwbBtTEu,['1NUD5By34MFynmuUynCfSj'],1976,1976,8
['the ritchie family'],The Best Disco In Town,79eNiy8GqOx646aVCNtPd1,1JuWjbZz8k7NCneHAyPkWo,['3FxBwdg0z5WkLdlAbe7GHq'],1976,1976,9
['chicago'],If You Leave Me Now - Remastered,0KMGxYKeUzK9wc5DZCt3HT,4asBn7hzIq2Ka7rDzJN24P,['3iDD7bnsjL9J4fO298r0L0'],1976,1976,16
['smokie'],I'll Meet You at Midnight,3DMAYsc8egxaSbPyQxd5zU,4owYZafXDrppX9A4COxBAe,['5rIqOJspxDq89aBBCUda1X'],1976,1976,10
['dennie christian'],Besame Mucho,3mxStUqGs9mPa9NO6nQunz,02vYFE3q3yBY18w607uYmR,['3rIFlp14SwbtFe5r70bGdC'],1976,1976,11
['dave edmunds'],Here Comes The Weekend,40iHCkEWdXEtDTuCIZM5Yq,4hFP82vO2pcLaABIfIJyNB,['65Gh3BfK84aTIugiRCgLBA'],1976,1976,6
['sherbet'],Howzat,78K0CsNamJ1LdSrWO7CxCn,4liRYil0nws0o7QfPehI71,['45NevEaV0GyRopWoADDPr2'],1976,1976,8
['little river band'],It's A Long Way There - 2002 Digital Remaster,4AszMcnVoGQbpKbEyQQEbD,1iZgFhl4ik5FfPxaRiv3RN,['6clbbhnIqpHnqxwtOWcilg'],1976,1976,8
['catapult'],Here We Go,5CclgqQmPb80rOry8HH6sq,00Di4SgQwbUhIIbM05QtlL,['4tpalrvEtD2YyBfz6RG8UU'],1976,1976,7
['abba'],"Money, Money, Money",0hpYclJ5fdzxrPCoF1INVo,79ZX48114T8NH36MnOTtl7,['0LcJLqbBmaGUft1e9Mm8HV'],1976,1976,12
['neil diamond'],Beautiful Noise,2abSCFdMUxxiJaaYK7P9Ap,4JuBoJanZsSkg2g34dnVKh,['7mEIug7XUlQHikrFxjTWes'],1976,1976,11
['anita meyer'],Just a disillusion,2KKt8nHHAKb4dns9o5vGpr,719iqpAQtXCPvmHK4lEs7l,['7xxVm0cM4x7TUBadZQuz3S'],1976,1976,6
['rod stewart'],The First Cut Is The Deepest,3FeYjbIVqvAhuTcwsE6K3v,6z4jnK1fRHP80RJC8x9UFd,['2y8Jo9CKhJvtfeKOsYzRdT'],1976,1976,6
['oscar harris'],Since I Met You Baby,4NmIevauzGe7xKF1pG0k9Y,3HGlFiK5tNkR5ZFFYH6PCx,['3fwBzAupoByJYJJwUCSj2e'],1976,1976,9
['jesse green'],Flip - Radio Edit,4pIIGEcyyOFj4bnrOPWbzH,0KHtb9ySYeFSrRHl9gKR4W,['6F9RWjBvRtYDrlFVW9Ut7M'],1976,1976,9
['gheorghe zamfir'],Doina De Jale,48OlajEGHD2u7vWs1qli5R,7nHj2hndzsl3LxJCPOVID7,['12FFWdcxApUNXV9TljwDpT'],1976,1976,6
['james & bobby purify'],I'm Your Puppet,6H8WMHCov3QGaPLbpOMpcJ,5wtLC8QWMF9tZKVI9cBqcX,['1qO2mRQM4zbksO586oM0W7'],1976,1976,7
['ennio morricone'],Il √©tait une fois dans l'Ouest,3EiMafwJjqTXBQhkE7859l,6vXRGoxhnJNF9h5eTXBPwP,['1nIUhcKHnK6iyumRyoV68C'],1976,1976,7
['george baker selection'],Ma√±ana Mi Amor,5xjaBn1Eb9nurgqT0KDXJ3,1dcpH2oaNEFxhKINvoe8i8,['2MGJBRRGEj9m6MxJIq7fLn'],1976,1976,8
['queen'],Somebody To Love - Remastered 2011,3vCHmbyOgc6pgwLUWfU4pF,0QRlYlrBuP7eGpEMZvZiaQ,['1dfeR4HaWDbWqFHLkxsg1d'],1976,1976,13
['the manhattans'],Hurt,31S04SZjQCMUTEIF9PWIEp,3FlfDtvO4nTwdfJQRzLgyv,['1DpIDwg8FGD50N9Tfunfsf'],1976,1976,8
['leo sayer'],You Make Me Feel Like Dancing - Live,2bdJEVHKoNyhnf2YwzxAQd,5jo4GhxDhtjqH0AKIO9maY,['04LIHk1SobiQwt2tlupoAV'],1976,1976,7
['tavares'],Don't Take Away The Music,4X5IelPOR92zyeyNkfvkkf,5DBKj09NaZ23ZUj8G1lB6z,['3LfO03nEZMdWNHG2tLpMa0'],1976,1976,10
['electric light orchestra'],Livin' Thing,2hdNya0b6Cc2YJ8IyaQIWp,7a35UzxXYuKQGMGImyB0Un,['7jefIIksOi1EazgRTfW2Pk'],1976,1976,9
['golden earring'],Bombay,3ezkfApB6BK9c2QyMqAs2r,19SxsJUqTUlleqDGPwD9v4,['1iTlOqIrZy8DlvCPJY2sjS'],1976,1976,9
['ria valk'],Leo,4yc7NBoo9qlOMGcoJIxzHh,3olYePqSyCQeR2jvXwKhiD,['087pgpL9oSvARP9nTP7x5j'],1976,1976,10
['champagne'],Rock 'n Roll Star,7kw9jBOLylu3pRSjeu8ssQ,75upqjYv1ElatK4kDhvcMn,['4i0NOuA8XvyzLJl7qqMUfw'],1976,1976,12
['steve miller band'],Rock'n Me,6V3UZrAP6ZgACeH8YjbCQn,0ogpgyIPIq7CjRis7FWw6U,['6QtGlUje9TIkLrgPZrESuk'],1976,1976,6
['10cc'],The Things We Do For Love,0QnjeIN25VdTuwykISJIlJ,42leebQc9ZlepsjNrq3k0Y,['6i6WlGzQtXtz7GcC5H5st5'],1976,1976,8
['elton john'],Sorry Seems To Be The Hardest Word,6XfxmT5QNCXvpZA6PKfWVL,0XsM7TdicJh19osmKPUoR2,['3PhoLpVuITZKcymswpck5b'],1976,1976,6
['liberation of man'],You're My Number One,03jHbje8v0seNHln1iMerg,3hkuta20XJfQgjBr0p87Uh,['6ScOdwI9O7IY9NCgtPAFpq'],1976,1976,6
['andre hazes'],Eenzame Kerst,4zcw3lGMkRdPt2TIR4hqyq,0BpssoREjazbh3HpDpS9ls,['04MtOUkmIDC4LAxDDBjrOY'],1976,1976,5
['osibisa'],the Coffee Song,4UGtgpSAZGT3maBXUv211a,0CXobCNeAqXHOYvYLQvjlt,['12X85dtebfc7JTZ8iMBT2o'],1976,1976,7
['showaddywaddy'],Under The Moon Of Love,1aRrtgXk4SLrhSmoyaNhbQ,1cI8Nv68nO6cZRehRFsUfY,['3zIIUxcnIoUMouVQdphkeC'],1976,1976,9
['ry cooder'],He'll Have To Go,6ZqIEWpEuvLHJm5dZh8kuN,1By4AXIO9wT3wapXpRjgKG,['1CPwHx5lgVxv0rfcp7UXLx'],1976,1976,7
['heart'],Magic Man - Remastered Live Version,66gX19SJoxrE9a6rNF4tsE,5cooYwPVN7pH567Lpt1nvY,['34jw2BbxjoYalTp8cJFCPv'],1976,1976,10
['bolland & bolland'],The Last Apache,1Xzo5L3IXYUNft4Pp9zJA7,55Gj7MUqxES87EHhZMGEtN,['1px59EFgB6u2uTLv93tOtr'],1976,1976,4
['vader abraham'],Mooi Griekenland,2PMPaGodGFACU7Zsts7Qlk,5L92v0PP8mQHc01RwsNhv6,['5OWsH2lF65ygWcLYWic6rq'],1976,1976,6
['boney m.'],Sunny,3pf96IFggfQuT6Gafqx2rt,1KQUrny9y5zGpktF6hAGd4,['54R6Y0I7jGUCveDTtI21nb'],1977,1977,11
['tony wilson'],I Like Your Style,7b0bir8Z4KyyBwQfBIjmYY,3N9BeN0UCTwyHADo59PI0g,['3nwZKsmOiJjn7x0fS3L5ZR'],1977,1977,7
['ricky king'],Verde,4uPjJqRX9AaBoP2fllSjsd,1KKKgSuoNjvwbFkQRnN2O6,['3bTR80pOQ7fRPD6zzOhWcW'],1977,1977,9
['status quo'],Wild Side Of Life,7FOcu94jz6V90KW4Y7Vdyc,16MjanaRhBF4JEP9Tn5sho,['4gIdjgLlvgEOz7MexDZzpM'],1977,1977,7
['smokie'],Living Next Door to Alice,4a8ZMNLB75047bY2I7oABt,4owYZafXDrppX9A4COxBAe,['5rIqOJspxDq89aBBCUda1X'],1977,1977,12
['stevie wonder'],I Wish,0tqp1kKvgBFsfIszEaviqZ,0BBWJ3L9fhkmNLdt4zs4fu,['7guDJrEfX3qb6FEbdPA5qi'],1977,1977,9
['patricia paay'],Who's That Lady With My Man,0ZnW3uNHhz16gqU7QGkaV4,3HGOLHA8sd9R2d0KVZOt1d,['7wSSa5ZhfmxYBMM0LT5lEd'],1977,1977,11
['wally tax'],Let's Dance,372eg6VM6O1X8KJLXuo8N4,0XBUyh0tnr0VLJSi1T8kge,['7hr9TBB6EcKhZWPkb5tbTY'],1977,1977,4
